rmse,mae,r2,spearman,top1_regret,random_expected_regret,top1_is_oracle,line,set,n,provenance
0.22776116608112118,0.1806805323604212,0.3273020581824527,0.6245672636758983,0.7085578808417683,0.5335057505334788,False,A,1m,256,"A baseline-a c8b97cf4 ridge, calibre=A own"
0.1993707010766129,0.15782976218898326,0.4845537127506203,0.7007531757839323,0.4140189060798054,0.5335057505334788,False,B,1m,256,B baseline-b e498b2c6 quadratic ridge (reconstructed from q1_mixture_model.npz)
0.11749914973830076,0.09800900652475336,0.8209681944765399,0.92285062371252,0.0,0.5335057505334788,True,C,1m,256,C baseline-c cf765761 forest(best_entropy_proxyQ)
1.520559116608641,1.5081080429717892,-47.26090432641084,0.5585710402838178,0.617886084776659,0.38028355508756206,False,A,60m,256,"A baseline-a c8b97cf4 ridge, calibre=A own"
1.4668409071902446,1.4562251721518744,-43.91122105107878,0.7063322556649119,0.2878156900405884,0.38028355508756206,False,B,60m,256,B baseline-b e498b2c6 quadratic ridge (reconstructed from q1_mixture_model.npz)
1.5076043543306765,1.5023721580605711,-46.44206705767638,0.8424882696269169,0.007963822438166623,0.38028355508756206,False,C,60m,256,C baseline-c cf765761 forest(best_entropy_proxyQ)
3.194228124758537,3.190156513653612,-3781.0164180787738,0.368452380952381,0.11560340569230743,0.11426107478004788,False,A,1B,64,"A baseline-a c8b97cf4 ridge, calibre=A own"
2.830171899637128,2.821885369054061,-2968.0477381157593,0.47760989010989013,0.33293076746153805,0.11426107478004788,False,B,1B,64,B baseline-b e498b2c6 quadratic ridge (reconstructed from q1_mixture_model.npz)
2.9312781184294248,2.9294521423792945,-3183.9718881467825,0.6499542124542125,0.06956565961538441,0.11426107478004788,False,C,1B,64,C baseline-c cf765761 forest(best_entropy_proxyQ)
3.584205710066392,3.5771261922488846,-1389.6102246332823,-0.4494047619047619,0.35872307692307714,0.19945897435897408,False,A,est_10b,63,"A baseline-a c8b97cf4 ridge, calibre=A own"
3.5854290390482273,3.5655957131998264,-1390.559647876569,-0.5786290322580645,0.35872307692307714,0.19945897435897408,False,B,est_10b,63,B baseline-b e498b2c6 quadratic ridge (reconstructed from q1_mixture_model.npz)
3.5999415648711235,3.5753205801604238,-1401.8475111920409,-0.7231182795698925,0.35872307692307714,0.19945897435897408,False,C,est_10b,63,C baseline-c cf765761 forest(best_entropy_proxyQ)
3.9670592138299274,3.9600392569619487,-1449.6540285701085,-0.5121927803379416,0.40721538461538476,0.22425360195360167,False,A,est_70b,63,"A baseline-a c8b97cf4 ridge, calibre=A own"
3.9676299306206437,3.9485087779128922,-1450.0714522184,-0.6465533794162827,0.40721538461538476,0.22425360195360167,False,B,est_70b,63,B baseline-b e498b2c6 quadratic ridge (reconstructed from q1_mixture_model.npz)
3.9819568976127946,3.9582336448734887,-1460.5699050183532,-0.8009312596006144,0.40721538461538476,0.22425360195360167,False,C,est_70b,63,C baseline-c cf765761 forest(best_entropy_proxyQ)
