event,cost_form,ell,kappa,from,to,C_before,C_after,log10_C_mid,share_quality_before,share_quality_after,note,functional,omega
Q_regime_change,power,4096,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.19459835864827837,0.1912034185413699,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,4096,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.01683569146857585,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,4096,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.19459835864827837,0.1912034185413699,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,8192,0.8047071577351047,lower_bound_Q0,interior,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.00040511430539735436,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,8192,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.1950434105804882,0.1833945127010071,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,8192,0.8047071577351047,lower_bound_Q0,interior,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.00040511430539735436,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,8192,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.1950434105804882,0.1833945127010071,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,32768,0.8047071577351047,lower_bound_Q0,interior,1.995262314968883e+18,2.511886431509572e+18,18.35,0.0,0.024903913643523474,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,32768,0.8047071577351047,interior,upper_bound,7.943282347242789e+20,1e+21,20.95,0.1947612138831808,0.18830705522575872,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,32768,0.8047071577351047,lower_bound_Q0,interior,1.995262314968883e+18,2.511886431509572e+18,18.35,0.0,0.024903913643523474,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,32768,0.8047071577351047,interior,upper_bound,7.943282347242789e+20,1e+21,20.95,0.1947612138831808,0.18830705522575872,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,lower_bound_Q0,interior,6.309573444801943e+17,7.943282347242789e+17,17.85,0.0,0.023839907852978084,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,interior,upper_bound,2.5118864315095718e+20,3.1622776601683794e+20,20.45,0.19474688141706678,0.18868212946227175,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,lower_bound_Q0,interior,6.309573444801943e+17,7.943282347242789e+17,17.85,0.0,0.023839907852978084,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,interior,upper_bound,2.5118864315095718e+20,3.1622776601683794e+20,20.45,0.19474688141706678,0.18868212946227175,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,exponential,2048,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.03245258465397277,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,2048,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13083667513411176,0.12481210792415487,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,2048,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.03245258465397277,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,2048,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13083667513411176,0.12481210792415487,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,4096,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.04507923613017363,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,4096,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13031562729353524,0.12159631141363555,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,4096,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.04507923613017363,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,4096,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13031562729353524,0.12159631141363555,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,8192,0.8047071577351047,lower_bound_Q0,interior,7.943282347242789e+17,1e+18,17.95,0.0,0.029288871839942093,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,8192,0.8047071577351047,interior,upper_bound,3.1622776601683794e+21,3.9810717055349854e+21,21.55,0.1309533085592157,0.12556235691516593,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,8192,0.8047071577351047,lower_bound_Q0,interior,7.943282347242789e+17,1e+18,17.95,0.0,0.029288871839942093,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,8192,0.8047071577351047,interior,upper_bound,3.1622776601683794e+21,3.9810717055349854e+21,21.55,0.1309533085592157,0.12556235691516593,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,32768,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349856e+17,5.011872336272715e+17,17.65,0.0,0.011159096488045285,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,32768,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.13156283543959552,0.12941965808200204,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,32768,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349856e+17,5.011872336272715e+17,17.65,0.0,0.011159096488045285,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,32768,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.13156283543959552,0.12941965808200204,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,131072,0.8047071577351047,lower_bound_Q0,interior,1.2589254117941714e+17,1.584893192461111e+17,17.15,0.0,0.00958658709808531,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,131072,0.8047071577351047,interior,upper_bound,5.0118723362727146e+20,6.309573444801943e+20,20.75,0.13160960565030091,0.1296684601261554,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,131072,0.8047071577351047,lower_bound_Q0,interior,1.2589254117941714e+17,1.584893192461111e+17,17.15,0.0,0.00958658709808531,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,131072,0.8047071577351047,interior,upper_bound,5.0118723362727146e+20,6.309573444801943e+20,20.75,0.13160960565030091,0.1296684601261554,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,2048,0.8047071577351047,lower_bound_Q0,upper_bound,7.943282347242789e+18,1e+19,18.95,0.0,0.3795964094674364,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,2048,0.8047071577351047,lower_bound_Q0,upper_bound,7.943282347242789e+18,1e+19,18.95,0.0,0.3795964094674364,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,4096,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3911018922957901,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,4096,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3911018922957901,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,8192,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3808635238272406,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,8192,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3808635238272406,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,32768,0.8047071577351047,lower_bound_Q0,upper_bound,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.38732412446671877,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,32768,0.8047071577351047,lower_bound_Q0,upper_bound,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.38732412446671877,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,131072,0.8047071577351047,lower_bound_Q0,upper_bound,1e+18,1.2589254117941714e+18,18.05,0.0,0.3878478489797717,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,logarithmic,131072,0.8047071577351047,lower_bound_Q0,upper_bound,1e+18,1.2589254117941714e+18,18.05,0.0,0.3878478489797717,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,2048,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.003699925041056432,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,2048,0.8047071577351047,interior,upper_bound,1.995262314968883e+21,2.5118864315095717e+21,21.35,0.1950957494403415,0.18244403584479546,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,2048,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.003699925041056432,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,2048,0.8047071577351047,interior,upper_bound,1.995262314968883e+21,2.5118864315095717e+21,21.35,0.1950957494403415,0.18244403584479546,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,4096,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.01683569146857585,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,4096,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.19459835864827837,0.1912034185413699,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,4096,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.01683569146857585,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,4096,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.19459835864827837,0.1912034185413699,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,8192,0.8047071577351047,lower_bound_Q0,interior,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.00040511430539735436,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,8192,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.1950434105804882,0.1833945127010071,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,8192,0.8047071577351047,lower_bound_Q0,interior,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.00040511430539735436,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,8192,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.1950434105804882,0.1833945127010071,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,32768,0.8047071577351047,lower_bound_Q0,interior,1.995262314968883e+18,2.511886431509572e+18,18.35,0.0,0.024903913643523474,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,32768,0.8047071577351047,interior,upper_bound,7.943282347242789e+20,1e+21,20.95,0.1947612138831808,0.18830705522575872,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,32768,0.8047071577351047,lower_bound_Q0,interior,1.995262314968883e+18,2.511886431509572e+18,18.35,0.0,0.024903913643523474,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,32768,0.8047071577351047,interior,upper_bound,7.943282347242789e+20,1e+21,20.95,0.1947612138831808,0.18830705522575872,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,131072,0.8047071577351047,lower_bound_Q0,interior,6.309573444801943e+17,7.943282347242789e+17,17.85,0.0,0.023839907852978084,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,131072,0.8047071577351047,interior,upper_bound,2.5118864315095718e+20,3.1622776601683794e+20,20.45,0.19474688141706678,0.18868212946227175,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,131072,0.8047071577351047,lower_bound_Q0,interior,6.309573444801943e+17,7.943282347242789e+17,17.85,0.0,0.023839907852978084,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,power,131072,0.8047071577351047,interior,upper_bound,2.5118864315095718e+20,3.1622776601683794e+20,20.45,0.19474688141706678,0.18868212946227175,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,2048,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.03245258465397277,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,2048,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13083667513411176,0.12481210792415487,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,2048,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.03245258465397277,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,2048,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13083667513411176,0.12481210792415487,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,4096,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.04507923613017363,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,4096,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13031562729353524,0.12159631141363555,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,4096,0.8047071577351047,lower_bound_Q0,interior,1e+18,1.2589254117941714e+18,18.05,0.0,0.04507923613017363,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,4096,0.8047071577351047,interior,upper_bound,3.9810717055349854e+21,5.011872336272714e+21,21.65,0.13031562729353524,0.12159631141363555,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,8192,0.8047071577351047,lower_bound_Q0,interior,7.943282347242789e+17,1e+18,17.95,0.0,0.029288871839942093,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,8192,0.8047071577351047,interior,upper_bound,3.1622776601683794e+21,3.9810717055349854e+21,21.55,0.1309533085592157,0.12556235691516593,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,8192,0.8047071577351047,lower_bound_Q0,interior,7.943282347242789e+17,1e+18,17.95,0.0,0.029288871839942093,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,8192,0.8047071577351047,interior,upper_bound,3.1622776601683794e+21,3.9810717055349854e+21,21.55,0.1309533085592157,0.12556235691516593,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,32768,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349856e+17,5.011872336272715e+17,17.65,0.0,0.011159096488045285,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,32768,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.13156283543959552,0.12941965808200204,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,32768,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349856e+17,5.011872336272715e+17,17.65,0.0,0.011159096488045285,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,32768,0.8047071577351047,interior,upper_bound,1.584893192461111e+21,1.995262314968883e+21,21.25,0.13156283543959552,0.12941965808200204,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,131072,0.8047071577351047,lower_bound_Q0,interior,1.2589254117941714e+17,1.584893192461111e+17,17.15,0.0,0.00958658709808531,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,131072,0.8047071577351047,interior,upper_bound,5.0118723362727146e+20,6.309573444801943e+20,20.75,0.13160960565030091,0.1296684601261554,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,131072,0.8047071577351047,lower_bound_Q0,interior,1.2589254117941714e+17,1.584893192461111e+17,17.15,0.0,0.00958658709808531,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,exponential,131072,0.8047071577351047,interior,upper_bound,5.0118723362727146e+20,6.309573444801943e+20,20.75,0.13160960565030091,0.1296684601261554,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,logarithmic,2048,0.8047071577351047,lower_bound_Q0,upper_bound,7.943282347242789e+18,1e+19,18.95,0.0,0.3795964094674364,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,logarithmic,2048,0.8047071577351047,lower_bound_Q0,upper_bound,7.943282347242789e+18,1e+19,18.95,0.0,0.3795964094674364,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,logarithmic,4096,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3911018922957901,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,logarithmic,4096,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3911018922957901,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,logarithmic,8192,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3808635238272406,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,logarithmic,8192,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3808635238272406,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
Q_regime_change,logarithmic,32768,0.8047071577351047,lower_bound_Q0,upper_bound,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.38732412446671877,预定义事件 1（Q* 离开/进入边界）,mixture_l1,2.0
