candidate,source,in_trust_box,in_trust_l1,trust_status,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds,select_rank,select_rank_low,Q,delta,aliases,delta_ref,delta_mixture_l1,is_p0
shift_freelaw_up__pubmed_central_down,simplex_perturbation,True,True,in,0.11302252583269282,0.14682483215202782,0.005889680217095952,0.06375419105058358,0.07507775607983629,0.025462854097050406,0.11070066007050919,0.005487697351193037,0.0994324234441302,0.0022110330434062264,0.04691494424753538,0.11948759779188564,0.019599998284005896,0.012737064754031534,0.01165082237810868,0.06618116611257163,0.07556475309333589,,,0.416632541103301,-1.2970372997731452e-14,shift_freelaw_up__pubmed_central_down,-1.2970372997731452e-14,1.0000000000000024,False
shift_freelaw_up__wikipedia_en_down,simplex_perturbation,True,True,in,0.1130225258326928,0.14682483215202782,0.005889680217095951,0.11375419105058358,0.025077756079836273,0.025462854097050402,0.11070066007050917,0.005487697351193037,0.09943242344413018,0.0022110330434062264,0.046914944247535374,0.11948759779188563,0.019599998284005896,0.012737064754031533,0.01165082237810868,0.06618116611257163,0.07556475309333589,,,0.41820122115064357,-0.3665275332404914,shift_freelaw_up__wikipedia_en_down,-0.3665275332404914,1.0000000000000018,False
shift_freelaw_up__github_down,simplex_perturbation,True,True,in,0.1130225258326928,0.14682483215202782,0.005889680217095951,0.11375419105058358,0.07507775607983629,0.025462854097050402,0.060700660070509165,0.005487697351193037,0.09943242344413018,0.0022110330434062264,0.046914944247535374,0.11948759779188563,0.019599998284005896,0.012737064754031533,0.01165082237810868,0.06618116611257163,0.07556475309333589,,,0.42223927225863445,-1.3100321785747533,shift_freelaw_up__github_down,-1.3100321785747533,1.0000000000000018,False
shift_freelaw_up__stackexchange_down,simplex_perturbation,True,True,in,0.11302252583269279,0.1468248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.049432423444130166,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588,,,0.4097801753790527,1.6010790154595766,shift_freelaw_up__stackexchange_down,1.6010790154595766,1.0000000000000004,False
shift_freelaw_up__pile_cc_down,simplex_perturbation,True,True,in,0.11302252583269282,0.14682483215202782,0.005889680217095952,0.1137541910505836,0.07507775607983629,0.025462854097050406,0.11070066007050919,0.005487697351193037,0.0994324234441302,0.0022110330434062264,0.04691494424753538,0.06948759779188562,0.019599998284005896,0.012737064754031534,0.01165082237810868,0.06618116611257163,0.07556475309333589,,,0.41846570043883785,-0.428324036140665,shift_freelaw_up__pile_cc_down,-0.428324036140665,1.0000000000000022,False
shift_freelaw_up__pubmed_abstracts_down,simplex_perturbation,True,True,in,0.1130225258326928,0.14682483215202782,0.005889680217095951,0.11375419105058358,0.07507775607983629,0.025462854097050402,0.11070066007050917,0.005487697351193037,0.09943242344413018,0.0022110330434062264,0.046914944247535374,0.11948759779188563,0.019599998284005896,0.012737064754031533,0.01165082237810868,0.01618116611257162,0.07556475309333589,,,0.416632541103301,-1.2970372997731452e-14,shift_freelaw_up__pubmed_abstracts_down,-1.2970372997731452e-14,1.0000000000000018,False
shift_freelaw_up__uspto_backgrounds_down,simplex_perturbation,True,True,in,0.11302252583269282,0.14682483215202782,0.005889680217095952,0.1137541910505836,0.07507775607983629,0.025462854097050406,0.11070066007050919,0.005487697351193037,0.0994324234441302,0.0022110330434062264,0.04691494424753538,0.11948759779188564,0.019599998284005896,0.012737064754031534,0.01165082237810868,0.06618116611257163,0.025564753093335883,,,0.416632541103301,-1.2970372997731452e-14,shift_freelaw_up__uspto_backgrounds_down,-1.2970372997731452e-14,1.0000000000000024,False
shift_nih_exporter_up__arxiv_down,simplex_perturbation,False,True,outside,0.06302252583269279,0.0968248321520278,0.05588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588,,,0.4116148576053034,1.1723991506222478,shift_nih_exporter_up__arxiv_down,1.1723991506222478,1.0000000000000007,False
shift_nih_exporter_up__freelaw_down,simplex_perturbation,False,True,outside,0.11302252583269279,0.046824832152027804,0.05588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588,,,0.41663254110330095,0.0,shift_nih_exporter_up__freelaw_down,0.0,1.0000000000000007,False
shift_nih_exporter_up__pubmed_central_down,simplex_perturbation,False,True,outside,0.11302252583269279,0.0968248321520278,0.05588968021709595,0.06375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588,,,0.41663254110330095,0.0,shift_nih_exporter_up__pubmed_central_down,0.0,1.0000000000000007,False
shift_nih_exporter_up__wikipedia_en_down,simplex_perturbation,False,True,outside,0.11302252583269279,0.0968248321520278,0.05588968021709595,0.11375419105058357,0.02507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588,,,0.41820122115064357,-0.3665275332404914,shift_nih_exporter_up__wikipedia_en_down,-0.3665275332404914,1.0000000000000007,False
