functional,omega,C,cost_form,ell,q0_mode,N_B,D_B,Q,h_true,L_pred,trust_status,L_correct_unit_rescore
mixture_l1,0.0,1e+19,exponential,2048,fixed_ref,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.0,1e+19,exponential,2048,mixture,0.0228524797792075,68.27091744235928,0.4871620101591301,1.0,1.692266108462679,box_only,3.416100999188332
mixture_l1,0.0,1e+19,exponential,4096,fixed_ref,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.0,1e+19,exponential,4096,mixture,0.0222214980509868,65.9922960091233,0.4871620101591301,1.0,1.6922896939053464,box_only,3.4326040779699656
mixture_l1,0.0,1e+19,exponential,8192,fixed_ref,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.0,1e+19,exponential,8192,mixture,0.0211095998027044,62.0179780056156,0.4871620101591301,1.0,1.692333473844469,box_only,3.4632550848244446
mixture_l1,0.0,1e+19,exponential,32768,fixed_ref,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.0,1e+19,exponential,32768,mixture,0.016873298906258,47.209751405191696,0.4871620101591301,1.0,1.692534441686993,box_only,3.6036863039647855
mixture_l1,0.0,1e+19,exponential,131072,fixed_ref,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.0,1e+19,exponential,131072,mixture,0.0110241894173997,28.15809607481448,0.4871620101591301,1.0,1.6929604461348704,box_only,3.901638500392645
mixture_l1,0.0,1e+19,power,2048,fixed_ref,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.0,1e+19,power,2048,mixture,0.0228524797792075,68.27091744235928,0.4871620101591301,1.0,1.692266108462679,box_only,3.416100999188332
mixture_l1,0.0,1e+19,power,4096,fixed_ref,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.0,1e+19,power,4096,mixture,0.0222214980509868,65.9922960091233,0.4871620101591301,1.0,1.6922896939053464,box_only,3.4326040779699656
mixture_l1,0.0,1e+19,power,8192,fixed_ref,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.0,1e+19,power,8192,mixture,0.0211095998027044,62.0179780056156,0.4871620101591301,1.0,1.692333473844469,box_only,3.4632550848244446
mixture_l1,0.0,1e+19,power,32768,fixed_ref,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.0,1e+19,power,32768,mixture,0.016873298906258,47.209751405191696,0.4871620101591301,1.0,1.692534441686993,box_only,3.6036863039647855
mixture_l1,0.0,1e+19,power,131072,fixed_ref,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.0,1e+19,power,131072,mixture,0.0110241894173997,28.15809607481448,0.4871620101591301,1.0,1.6929604461348704,box_only,3.901638500392645
mixture_l1,0.0,1e+19,logarithmic,2048,fixed_ref,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.0,1e+19,logarithmic,2048,mixture,0.0228524797792075,68.27091744235928,0.4871620101591301,1.0,1.692266108462679,box_only,3.416100999188332
mixture_l1,0.0,1e+19,logarithmic,4096,fixed_ref,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.0,1e+19,logarithmic,4096,mixture,0.0222214980509868,65.9922960091233,0.4871620101591301,1.0,1.6922896939053464,box_only,3.4326040779699656
mixture_l1,0.0,1e+19,logarithmic,8192,fixed_ref,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.0,1e+19,logarithmic,8192,mixture,0.0211095998027044,62.0179780056156,0.4871620101591301,1.0,1.692333473844469,box_only,3.4632550848244446
mixture_l1,0.0,1e+19,logarithmic,32768,fixed_ref,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.0,1e+19,logarithmic,32768,mixture,0.016873298906258,47.209751405191696,0.4871620101591301,1.0,1.692534441686993,box_only,3.6036863039647855
mixture_l1,0.0,1e+19,logarithmic,131072,fixed_ref,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.0,1e+19,logarithmic,131072,mixture,0.0110241894173997,28.15809607481448,0.4871620101591301,1.0,1.6929604461348704,box_only,3.901638500392645
mixture_l1,0.0,1e+22,exponential,2048,fixed_ref,0.7390832048187815,1786.5544052099483,0.7644906677270099,1.0,1.690630005622433,in,2.244141293291543
mixture_l1,0.0,1e+22,exponential,2048,mixture,0.7261282500540663,1843.1994138175676,0.7602243073098676,1.0,1.6906284131378808,box_only,2.245300089225355
mixture_l1,0.0,1e+22,exponential,4096,fixed_ref,0.7202666946511164,1723.8166870950863,0.7693909543817422,1.0,1.690637236516379,in,2.248990000513017
mixture_l1,0.0,1e+22,exponential,4096,mixture,0.7079892551963212,1776.6976776671731,0.7652569574501724,1.0,1.690635686986963,box_only,2.2501304710282417
mixture_l1,0.0,1e+22,exponential,8192,fixed_ref,0.6864148438890036,1616.1073519237568,0.7782425832914014,1.0,1.690650647113936,in,2.258070278793574
mixture_l1,0.0,1e+22,exponential,8192,mixture,0.6757094613478459,1661.8187541474754,0.7744059871889335,1.0,1.690649173039135,box_only,2.2591185903413415
mixture_l1,0.0,1e+22,exponential,32768,fixed_ref,0.5557165531616646,1219.440588216475,0.817055964889995,1.0,1.6907120322117328,in,2.2996763273734837
mixture_l1,0.0,1e+22,exponential,32768,mixture,0.5490686740526706,1245.3957127318668,0.8141475124816686,1.0,1.6907108451281865,box_only,2.3005463389632546
mixture_l1,0.0,1e+22,exponential,131072,fixed_ref,0.3708286954532517,718.3964746671064,0.8908402810912497,1.0,1.690841381768011,in,2.387784540023687
mixture_l1,0.0,1e+22,exponential,131072,mixture,0.368468189147868,726.7798284483092,0.889213318514643,1.0,1.6908405892385414,box_only,2.388290452173962
mixture_l1,0.0,1e+22,power,2048,fixed_ref,0.7340179266611321,1754.0608890521355,0.6920597640303958,1.0,1.6906445121898166,in,2.249586744345071
mixture_l1,0.0,1e+22,power,2048,mixture,0.7024466300419726,1892.586294202954,0.6790317967582609,1.0,1.6906411746090109,box_only,2.252701557710541
mixture_l1,0.0,1e+22,power,4096,fixed_ref,0.7174417842712534,1684.6655361572473,0.6990757300027267,1.0,1.690651755841625,in,2.2541624853832607
mixture_l1,0.0,1e+22,power,4096,mixture,0.6881028131028888,1811.1077656958007,0.6865397449295312,1.0,1.6906485253711123,box_only,2.2571303423061693
mixture_l1,0.0,1e+22,power,8192,fixed_ref,0.6881028131028888,1564.6709925934697,0.7121120481508717,1.0,1.6906651687924776,in,2.2626275958176256
mixture_l1,0.0,1e+22,power,8192,mixture,0.6619116119411185,1673.1698047229245,0.7002701273775375,1.0,1.690662124405369,box_only,2.2654238040564545
mixture_l1,0.0,1e+22,power,32768,fixed_ref,0.5712155216230432,1137.8921687655877,0.7711332785256471,1.0,1.6907262369081466,in,2.3015025969275023
mixture_l1,0.0,1e+22,power,32768,mixture,0.5557165531616646,1193.2289237201862,0.7620294970341073,1.0,1.6907238769011668,box_only,2.3035885794971986
mixture_l1,0.0,1e+22,power,131072,fixed_ref,0.3981071705534968,630.2788037207847,0.8938582354119419,1.0,1.6908534107698188,in,2.383335881050353
mixture_l1,0.0,1e+22,power,131072,mixture,0.3922834625395209,646.5297164029765,0.8881876425349612,1.0,1.6908519316637909,box_only,2.384579129183455
mixture_l1,0.0,1e+22,logarithmic,2048,fixed_ref,0.883785082255996,1393.4998168928687,1.0,1.0,1.6906143089563717,in,2.2224787515247577
mixture_l1,0.0,1e+22,logarithmic,2048,mixture,0.8537027230038308,1486.4534295528038,1.0,1.0,1.6906092518779736,box_only,2.223922173214784
mixture_l1,0.0,1e+22,logarithmic,4096,fixed_ref,0.8537027230038308,1363.6915087594743,1.0,1.0,1.6906211238650943,in,2.227843441652083
mixture_l1,0.0,1e+22,logarithmic,4096,mixture,0.8248468749105473,1453.419679055542,1.0,1.0,1.6906161470710956,box_only,2.2293277822180815
mixture_l1,0.0,1e+22,logarithmic,8192,fixed_ref,0.801678063387679,1309.7568546297523,1.0,1.0,1.6906338137780763,in,2.2377827692777617
mixture_l1,0.0,1e+22,logarithmic,8192,mixture,0.7755324957585902,1392.8824422679045,1.0,1.0,1.6906289826330294,box_only,2.2392680272720176
mixture_l1,0.0,1e+22,logarithmic,32768,fixed_ref,0.6108294955902859,1089.3748944270033,1.0,1.0,1.6906926720466555,in,2.283542895742885
mixture_l1,0.0,1e+22,logarithmic,32768,mixture,0.5938179663658979,1148.0947401818437,1.0,1.0,1.690688455132257,box_only,2.2850263521157657
mixture_l1,0.0,1e+22,logarithmic,131072,fixed_ref,0.3717406037942833,741.4620083298612,1.0,1.0,1.6908200559118678,in,2.380445879032015
mixture_l1,0.0,1e+22,logarithmic,131072,mixture,0.3645076661868154,769.3535626779997,1.0,1.0,1.6908168769396492,box_only,2.3817613334892993
mixture_l1,0.0,1e+24,exponential,2048,fixed_ref,6.008600551799451,23570.888745708377,1.0,1.0,1.6901895542554368,in,1.9562979691048497
mixture_l1,0.0,1e+24,exponential,2048,mixture,5.999752471908251,23638.23852944013,1.0,1.0,1.6901894592020188,box_only,1.9563352423184706
mixture_l1,0.0,1e+24,exponential,4096,fixed_ref,5.825501700037946,22915.93906521231,1.0,1.0,1.69019310381402,in,1.9589196715414523
mixture_l1,0.0,1e+24,exponential,4096,mixture,5.816923245869832,22980.535896264515,1.0,1.0,1.69019301065694,box_only,1.9589582973993644
mixture_l1,0.0,1e+24,exponential,8192,fixed_ref,5.5028372272949015,21764.98353811017,1.0,1.0,1.6901997027163602,in,1.9638080257725934
mixture_l1,0.0,1e+24,exponential,8192,mixture,5.493384528073889,21829.775463566,1.0,1.0,1.6901996129575645,box_only,1.9638609270872416
mixture_l1,0.0,1e+24,exponential,32768,fixed_ref,4.301302633821375,17268.37732240891,1.0,1.0,1.6902301434301903,in,1.9861962813805576
mixture_l1,0.0,1e+24,exponential,32768,mixture,4.29496866819792,17311.32846241085,1.0,1.0,1.6902300674580648,box_only,1.9862481216980445
mixture_l1,0.0,1e+24,exponential,131072,fixed_ref,2.724624557469334,10906.95315250286,1.0,1.0,1.690295272708779,in,2.033487973970973
mixture_l1,0.0,1e+24,exponential,131072,mixture,2.7232865010918146,10919.72904695105,1.0,1.0,1.6902952181703508,box_only,2.0334999060510275
mixture_l1,0.0,1e+24,power,2048,fixed_ref,6.144407350126714,22607.791255809945,1.0,1.0,1.69019091975347,in,1.95571171494799
mixture_l1,0.0,1e+24,power,2048,mixture,6.126324544438652,22734.67715702194,1.0,1.0,1.6901907313132805,box_only,1.9557858063892903
mixture_l1,0.0,1e+24,power,4096,fixed_ref,5.952782297252953,22005.803304842106,1.0,1.0,1.6901944426130686,in,1.9583480585497863
mixture_l1,0.0,1e+24,power,4096,mixture,5.935263438321449,22127.747395934985,1.0,1.0,1.6901942578001616,box_only,1.9584248245338212
mixture_l1,0.0,1e+24,power,8192,fixed_ref,5.61754637879216,20938.719857822834,1.0,1.0,1.690200993584019,in,1.9632475691097788
mixture_l1,0.0,1e+24,power,8192,mixture,5.603766104733674,21042.802637737568,1.0,1.0,1.6902008152886887,box_only,1.963305795421056
mixture_l1,0.0,1e+24,power,32768,fixed_ref,4.373743734297596,16734.840328783128,1.0,1.0,1.6902312391304195,in,1.9856889610533226
mixture_l1,0.0,1e+24,power,32768,mixture,4.36301460395205,16809.570421034212,1.0,1.0,1.6902310874516029,box_only,1.9857663801270993
mixture_l1,0.0,1e+24,power,131072,fixed_ref,2.75558196282084,10681.619240609689,1.0,1.0,1.6902960626506316,in,2.0330615113368453
mixture_l1,0.0,1e+24,power,131072,mixture,2.751524177793618,10711.560345304477,1.0,1.0,1.6902959529275476,box_only,2.033114778486354
mixture_l1,0.0,1e+24,logarithmic,2048,fixed_ref,5.6313605400525,26591.334694753103,1.0,1.0,1.6901858472383675,in,1.9581277747677703
mixture_l1,0.0,1e+24,logarithmic,2048,mixture,5.590019634749122,26964.848119656835,1.0,1.0,1.6901854320586651,box_only,1.958341992277319
mixture_l1,0.0,1e+24,logarithmic,4096,fixed_ref,5.469152081099707,25768.74010923744,1.0,1.0,1.6901894747076456,in,1.960724793588435
mixture_l1,0.0,1e+24,logarithmic,4096,mixture,5.429001979420654,26125.363310377328,1.0,1.0,1.690189068813423,box_only,1.960945586698668
mixture_l1,0.0,1e+24,logarithmic,8192,fixed_ref,5.181474120187745,24337.03536830636,1.0,1.0,1.6901962128521035,in,1.9655734304615802
mixture_l1,0.0,1e+24,logarithmic,8192,mixture,5.145963087716267,24653.34086283232,1.0,1.0,1.6901958234813657,box_only,1.9657821363017434
mixture_l1,0.0,1e+24,logarithmic,32768,fixed_ref,4.10015240506615,18873.928427979827,1.0,1.0,1.690227212285457,in,1.9877483140197851
mixture_l1,0.0,1e+24,logarithmic,32768,mixture,4.0780573907079045,19065.838500767317,1.0,1.0,1.6902268883457383,box_only,1.9879282303568953
mixture_l1,0.0,1e+24,logarithmic,131072,fixed_ref,2.6441941090204626,11535.010722342977,1.0,1.0,1.6902931917191777,in,2.034636514280501
mixture_l1,0.0,1e+24,logarithmic,131072,mixture,2.63511758986384,11608.43430774832,1.0,1.0,1.6902929647966047,box_only,2.034773436472835
mixture_l1,0.5,1e+19,exponential,2048,fixed_ref,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.5,1e+19,exponential,2048,mixture,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.5,1e+19,exponential,4096,fixed_ref,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.5,1e+19,exponential,4096,mixture,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.5,1e+19,exponential,8192,fixed_ref,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.5,1e+19,exponential,8192,mixture,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.5,1e+19,exponential,32768,fixed_ref,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.5,1e+19,exponential,32768,mixture,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.5,1e+19,exponential,131072,fixed_ref,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.5,1e+19,exponential,131072,mixture,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.5,1e+19,power,2048,fixed_ref,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.5,1e+19,power,2048,mixture,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.5,1e+19,power,4096,fixed_ref,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.5,1e+19,power,4096,mixture,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.5,1e+19,power,8192,fixed_ref,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.5,1e+19,power,8192,mixture,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.5,1e+19,power,32768,fixed_ref,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.5,1e+19,power,32768,mixture,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.5,1e+19,power,131072,fixed_ref,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.5,1e+19,power,131072,mixture,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.5,1e+19,logarithmic,2048,fixed_ref,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.5,1e+19,logarithmic,2048,mixture,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,0.5,1e+19,logarithmic,4096,fixed_ref,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.5,1e+19,logarithmic,4096,mixture,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
mixture_l1,0.5,1e+19,logarithmic,8192,fixed_ref,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.5,1e+19,logarithmic,8192,mixture,0.0199452736855723,65.63834204082536,0.4166325411033009,1.0,1.692382940950535,in,3.49782064578163
mixture_l1,0.5,1e+19,logarithmic,32768,fixed_ref,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.5,1e+19,logarithmic,32768,mixture,0.0159348018241459,49.990219868494165,0.4166325411033009,1.0,1.6925878289987637,in,3.6411608961789277
mixture_l1,0.5,1e+19,logarithmic,131072,fixed_ref,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.5,1e+19,logarithmic,131072,mixture,0.0104161365988311,29.80185424958124,0.4166325411033009,1.0,1.6930221433704056,in,3.9447483731554733
mixture_l1,0.5,1e+22,exponential,2048,fixed_ref,0.7390832048187815,1786.5544052099483,0.7644906677270099,1.0,1.690630005622433,in,2.244141293291543
mixture_l1,0.5,1e+22,exponential,2048,mixture,0.7390832048187815,1786.5544052099483,0.7644906677270099,1.0,1.690630005622433,in,2.244141293291543
mixture_l1,0.5,1e+22,exponential,4096,fixed_ref,0.7202666946511164,1723.8166870950863,0.7693909543817422,1.0,1.690637236516379,in,2.248990000513017
mixture_l1,0.5,1e+22,exponential,4096,mixture,0.7202666946511164,1723.8166870950863,0.7693909543817422,1.0,1.690637236516379,in,2.248990000513017
mixture_l1,0.5,1e+22,exponential,8192,fixed_ref,0.6864148438890036,1616.1073519237568,0.7782425832914014,1.0,1.690650647113936,in,2.258070278793574
mixture_l1,0.5,1e+22,exponential,8192,mixture,0.6864148438890036,1616.1073519237568,0.7782425832914014,1.0,1.690650647113936,in,2.258070278793574
mixture_l1,0.5,1e+22,exponential,32768,fixed_ref,0.5557165531616646,1219.440588216475,0.817055964889995,1.0,1.6907120322117328,in,2.2996763273734837
mixture_l1,0.5,1e+22,exponential,32768,mixture,0.5557165531616646,1219.440588216475,0.817055964889995,1.0,1.6907120322117328,in,2.2996763273734837
mixture_l1,0.5,1e+22,exponential,131072,fixed_ref,0.3708286954532517,718.3964746671064,0.8908402810912497,1.0,1.690841381768011,in,2.387784540023687
mixture_l1,0.5,1e+22,exponential,131072,mixture,0.3708286954532517,718.3964746671064,0.8908402810912497,1.0,1.690841381768011,in,2.387784540023687
mixture_l1,0.5,1e+22,power,2048,fixed_ref,0.7340179266611321,1754.0608890521355,0.6920597640303958,1.0,1.6906445121898166,in,2.249586744345071
mixture_l1,0.5,1e+22,power,2048,mixture,0.7340179266611321,1754.0608890521355,0.6920597640303958,1.0,1.6906445121898166,in,2.249586744345071
mixture_l1,0.5,1e+22,power,4096,fixed_ref,0.7174417842712534,1684.6655361572473,0.6990757300027267,1.0,1.690651755841625,in,2.2541624853832607
mixture_l1,0.5,1e+22,power,4096,mixture,0.7174417842712534,1684.6655361572473,0.6990757300027267,1.0,1.690651755841625,in,2.2541624853832607
mixture_l1,0.5,1e+22,power,8192,fixed_ref,0.6881028131028888,1564.6709925934697,0.7121120481508717,1.0,1.6906651687924776,in,2.2626275958176256
mixture_l1,0.5,1e+22,power,8192,mixture,0.6881028131028888,1564.6709925934697,0.7121120481508717,1.0,1.6906651687924776,in,2.2626275958176256
mixture_l1,0.5,1e+22,power,32768,fixed_ref,0.5712155216230432,1137.8921687655877,0.7711332785256471,1.0,1.6907262369081466,in,2.3015025969275023
mixture_l1,0.5,1e+22,power,32768,mixture,0.5712155216230432,1137.8921687655877,0.7711332785256471,1.0,1.6907262369081466,in,2.3015025969275023
mixture_l1,0.5,1e+22,power,131072,fixed_ref,0.3981071705534968,630.2788037207847,0.8938582354119419,1.0,1.6908534107698188,in,2.383335881050353
mixture_l1,0.5,1e+22,power,131072,mixture,0.3981071705534968,630.2788037207847,0.8938582354119419,1.0,1.6908534107698188,in,2.383335881050353
mixture_l1,0.5,1e+22,logarithmic,2048,fixed_ref,0.883785082255996,1393.4998168928687,1.0,1.0,1.6906143089563717,in,2.2224787515247577
mixture_l1,0.5,1e+22,logarithmic,2048,mixture,0.883785082255996,1393.4998168928687,1.0,1.0,1.6906143089563717,in,2.2224787515247577
mixture_l1,0.5,1e+22,logarithmic,4096,fixed_ref,0.8537027230038308,1363.6915087594743,1.0,1.0,1.6906211238650943,in,2.227843441652083
mixture_l1,0.5,1e+22,logarithmic,4096,mixture,0.8537027230038308,1363.6915087594743,1.0,1.0,1.6906211238650943,in,2.227843441652083
mixture_l1,0.5,1e+22,logarithmic,8192,fixed_ref,0.801678063387679,1309.7568546297523,1.0,1.0,1.6906338137780763,in,2.2377827692777617
mixture_l1,0.5,1e+22,logarithmic,8192,mixture,0.801678063387679,1309.7568546297523,1.0,1.0,1.6906338137780763,in,2.2377827692777617
mixture_l1,0.5,1e+22,logarithmic,32768,fixed_ref,0.6108294955902859,1089.3748944270033,1.0,1.0,1.6906926720466555,in,2.283542895742885
mixture_l1,0.5,1e+22,logarithmic,32768,mixture,0.6108294955902859,1089.3748944270033,1.0,1.0,1.6906926720466555,in,2.283542895742885
mixture_l1,0.5,1e+22,logarithmic,131072,fixed_ref,0.3717406037942833,741.4620083298612,1.0,1.0,1.6908200559118678,in,2.380445879032015
mixture_l1,0.5,1e+22,logarithmic,131072,mixture,0.3717406037942833,741.4620083298612,1.0,1.0,1.6908200559118678,in,2.380445879032015
mixture_l1,0.5,1e+24,exponential,2048,fixed_ref,6.008600551799451,23570.888745708377,1.0,1.0,1.6901895542554368,in,1.9562979691048497
mixture_l1,0.5,1e+24,exponential,2048,mixture,6.008600551799451,23570.888745708377,1.0,1.0,1.6901895542554368,in,1.9562979691048497
mixture_l1,0.5,1e+24,exponential,4096,fixed_ref,5.825501700037946,22915.93906521231,1.0,1.0,1.69019310381402,in,1.9589196715414523
mixture_l1,0.5,1e+24,exponential,4096,mixture,5.825501700037946,22915.93906521231,1.0,1.0,1.69019310381402,in,1.9589196715414523
mixture_l1,0.5,1e+24,exponential,8192,fixed_ref,5.5028372272949015,21764.98353811017,1.0,1.0,1.6901997027163602,in,1.9638080257725934
mixture_l1,0.5,1e+24,exponential,8192,mixture,5.5028372272949015,21764.98353811017,1.0,1.0,1.6901997027163602,in,1.9638080257725934
mixture_l1,0.5,1e+24,exponential,32768,fixed_ref,4.301302633821375,17268.37732240891,1.0,1.0,1.6902301434301903,in,1.9861962813805576
mixture_l1,0.5,1e+24,exponential,32768,mixture,4.301302633821375,17268.37732240891,1.0,1.0,1.6902301434301903,in,1.9861962813805576
mixture_l1,0.5,1e+24,exponential,131072,fixed_ref,2.724624557469334,10906.95315250286,1.0,1.0,1.690295272708779,in,2.033487973970973
mixture_l1,0.5,1e+24,exponential,131072,mixture,2.724624557469334,10906.95315250286,1.0,1.0,1.690295272708779,in,2.033487973970973
mixture_l1,0.5,1e+24,power,2048,fixed_ref,6.144407350126714,22607.791255809945,1.0,1.0,1.69019091975347,in,1.95571171494799
mixture_l1,0.5,1e+24,power,2048,mixture,6.144407350126714,22607.791255809945,1.0,1.0,1.69019091975347,in,1.95571171494799
mixture_l1,0.5,1e+24,power,4096,fixed_ref,5.952782297252953,22005.803304842106,1.0,1.0,1.6901944426130686,in,1.9583480585497863
mixture_l1,0.5,1e+24,power,4096,mixture,5.952782297252953,22005.803304842106,1.0,1.0,1.6901944426130686,in,1.9583480585497863
mixture_l1,0.5,1e+24,power,8192,fixed_ref,5.61754637879216,20938.719857822834,1.0,1.0,1.690200993584019,in,1.9632475691097788
mixture_l1,0.5,1e+24,power,8192,mixture,5.61754637879216,20938.719857822834,1.0,1.0,1.690200993584019,in,1.9632475691097788
mixture_l1,0.5,1e+24,power,32768,fixed_ref,4.373743734297596,16734.840328783128,1.0,1.0,1.6902312391304195,in,1.9856889610533226
mixture_l1,0.5,1e+24,power,32768,mixture,4.373743734297596,16734.840328783128,1.0,1.0,1.6902312391304195,in,1.9856889610533226
mixture_l1,0.5,1e+24,power,131072,fixed_ref,2.75558196282084,10681.619240609689,1.0,1.0,1.6902960626506316,in,2.0330615113368453
mixture_l1,0.5,1e+24,power,131072,mixture,2.75558196282084,10681.619240609689,1.0,1.0,1.6902960626506316,in,2.0330615113368453
mixture_l1,0.5,1e+24,logarithmic,2048,fixed_ref,5.6313605400525,26591.334694753103,1.0,1.0,1.6901858472383675,in,1.9581277747677703
mixture_l1,0.5,1e+24,logarithmic,2048,mixture,5.6313605400525,26591.334694753103,1.0,1.0,1.6901858472383675,in,1.9581277747677703
mixture_l1,0.5,1e+24,logarithmic,4096,fixed_ref,5.469152081099707,25768.74010923744,1.0,1.0,1.6901894747076456,in,1.960724793588435
mixture_l1,0.5,1e+24,logarithmic,4096,mixture,5.469152081099707,25768.74010923744,1.0,1.0,1.6901894747076456,in,1.960724793588435
mixture_l1,0.5,1e+24,logarithmic,8192,fixed_ref,5.181474120187745,24337.03536830636,1.0,1.0,1.6901962128521035,in,1.9655734304615802
mixture_l1,0.5,1e+24,logarithmic,8192,mixture,5.181474120187745,24337.03536830636,1.0,1.0,1.6901962128521035,in,1.9655734304615802
mixture_l1,0.5,1e+24,logarithmic,32768,fixed_ref,4.10015240506615,18873.928427979827,1.0,1.0,1.690227212285457,in,1.9877483140197851
mixture_l1,0.5,1e+24,logarithmic,32768,mixture,4.10015240506615,18873.928427979827,1.0,1.0,1.690227212285457,in,1.9877483140197851
mixture_l1,0.5,1e+24,logarithmic,131072,fixed_ref,2.6441941090204626,11535.010722342977,1.0,1.0,1.6902931917191777,in,2.034636514280501
mixture_l1,0.5,1e+24,logarithmic,131072,mixture,2.6441941090204626,11535.010722342977,1.0,1.0,1.6902931917191777,in,2.034636514280501
mixture_l1,1.0,1e+19,exponential,2048,fixed_ref,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,1.0,1e+19,exponential,2048,mixture,0.0215920229587635,72.25630332734711,0.4166325411033009,1.0,1.692314261499306,in,3.449747505370997
mixture_l1,1.0,1e+19,exponential,4096,fixed_ref,0.0209958438091073,69.84466499559211,0.4166325411033009,1.0,1.6923383070141471,in,3.466572236960686
